Zona;Contrato;Orden;Usuario;Estado;Ejecucion;mes;ano;Codigo;Anomalia;NUnidad;Unidad;NCausa;Causa;UGenera;Descripcion;Motivo;Cuadrilla;kWhRec;Factor
CE;ING 273.2024;32532031;644924;Pendiente;2024-04-16 08:23:11-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;LMACHABANJOY;Posible anomalia;Disponible;ZTY1639;0;
PA;MEC 289.2024;32532203;381286;Aprobada;2024-04-16 16:18:09-05;4;2024;82 / 82 / 1;Se Corrige Anomal�a / Linea Directa / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;FACTURACION;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1646;259;
SU;DCM 299.2024;32532502;312456;Pendiente;2024-04-15 10:42:29-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;RCAICEDO;Posible anomalia;Disponible;ZTY1686;0;
SU;DCM 299.2024;32532517;312418;Pendiente;2024-04-15 08:56:21-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;RCAICEDO;Posible anomalia;Disponible;ZTY1686;0;
SU;DCM 299.2024;32532547;1158337;Pendiente;2024-04-15 11:24:24-05;4;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;CMORALES;Posible anomalia;Disponible;ZTY1683;0;
SU;DCM 299.2024;32532547;1158337;Pendiente;2024-04-15 11:24:24-05;4;2024;BPQ;Bornera Perforada/Quemada;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;CMORALES;Posible anomalia;;ZTY1683;0;
PA;ELE 283.2024;32533080;386098;Pendiente;2024-05-11 11:27:56-05;5;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;LMACHABANJOY;Posible anomalia;;ZTY1707;;
NO;DIC 284.2024;32533218;1034964;Aprobada;2024-04-11 17:14:02-05;4;2024;1 / 82 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Linea Directa;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;ONANEZ;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1664;2049;
NO;DIC 284.2024;32533224;624286;Aprobada;2024-04-11 17:27:44-05;4;2024;30004 / 1 / 82 / 82;OTRAS ANOMAL�AS REINCIDENTE PARE / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Linea Directa;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;ONANEZ;Anomalia verificada y aprobada;Otras Anomalias;ZTY1664;2183;
NO;DIC 284.2024;32533229;196502;Aprobada;2024-04-11 17:37:55-05;4;2024;82 / 82 / 1;Linea Directa / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;ONANEZ;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1664;2051;
NO;DIC 284.2024;32533233;197010;Aprobada;2024-04-11 17:50:46-05;4;2024;30004 / 82 / 30002 / 1 / 82;OTRAS ANOMAL�AS REINCIDENTE PARE / Linea Directa / REINCIDENTE PARE / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;ONANEZ;Anomalia verificada y aprobada;Existencia Otras Cargas;ZTY1664;1810;
PA;MEC 289.2024;32534182;1191076;Rechazada;2024-04-11 09:26:46-05;4;2024;82 / 38 / 38 / 82;Linea Directa / Conexi�n En Bornes Conforme / Inspecci�n T�cnica Conforme / Se Corrige Anomal�a;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada con acta digital;No Procede Pare;ZTY1642;216;
PA;MEC 289.2024;32534187;1196426;Aprobada;2024-04-11 10:40:14-05;4;2024;30004 / 38 / 82 / 39 / 82 / 1;OTRAS ANOMAL�AS REINCIDENTE PARE / Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / Medidor desconectado / Linea Directa / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Otras Anomalias;ZTY1645;190;
PA;MEC 289.2024;32534188;1196780;Aprobada;2024-04-11 08:26:08-05;4;2024;38 / 18 / 82 / 431 / 1;Inspecci�n T�cnica Conforme / Conexion Directa Desde Bornera / Se Corrige Anomal�a / Verificacion Y/O Correcion De Medidor Y Acometida En Caja / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1645;0;
PA;MEC 289.2024;32534189;1205493;Aprobada;2024-04-11 15:27:13-05;4;2024;1 / H1 / 82 / 82 / 431 / 38;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Reconexion No Autorizada / Linea Directa / Se Corrige Anomal�a / Verificacion Y/O Correcion De Medidor Y Acometida En Caja / Inspecci�n T�cnica Conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1641;61;
PA;MEC 289.2024;32534190;1211382;Pendiente;2024-04-11 16:14:19-05;4;2024;82 / 82 / 38 / 38;Se Corrige Anomal�a / Linea Directa / Conexi�n En Bornes Conforme / Inspecci�n T�cnica Conforme;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Posible anomalia;;ZTY1641;140;
PA;MEC 289.2024;32534274;1219381;Aprobada;2024-04-11 08:42:55-05;4;2024;38 / 1 / 82 / 38 / 82;Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / Conexi�n En Bornes Conforme / Se Corrige Anomal�a;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1642;217;
PA;MEC 289.2024;32534280;1219430;Rechazada;2024-04-11 10:43:02-05;4;2024;38 / 82 / 38;Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / Conexi�n En Bornes Conforme;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada con acta digital;No Procede Pare;ZTY1642;0;
PA;MEC 289.2024;32534406;1227623;Pendiente;2024-05-17 17:08:27-05;5;2024;38 / 82 / 38 / H1;Acometida Intervenid / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / Reconexion No Autorizada;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Posible anomalia;;ZTY1646;193;
PA;MEC 289.2024;32534414;1236909;Rechazada;2024-04-11 11:31:25-05;4;2024;38 / 82 / 38;Conexi�n En Bornes Conforme / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada con acta digital;No Procede Pare;ZTY1645;0;
PA;MEC 289.2024;32534436;1241517;Aprobada;2024-04-22 15:34:20-05;4;2024;1 / 39 / 82 / 38 / 18 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Fase I / Linea Directa / Inspecci�n T�cnica Conforme / Conexion Directa Desde Bornera / Se Corrige Anomal�a;0;FACTURACION;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1643;83;
PA;MEC 289.2024;32534442;1246126;Rechazada;2024-04-11 08:41:57-05;4;2024;82 / 38 / 82 / 38;Linea Directa / Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / Conexi�n En Bornes Conforme;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada con acta digital;No Procede Pare;ZTY1641;943;
PA;MEC 289.2024;32534455;8542173;Aprobada;2024-04-11 09:38:32-05;4;2024;38 / 82 / 38 / 82 / 1;Conexi�n En Bornes Conforme / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / Linea Directa / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1641;358;
PA;MEC 289.2024;32534508;8549560;Rechazada;2024-04-11 09:41:37-05;4;2024;82 / 82 / 38 / 38;Se Corrige Anomal�a / Linea Directa / Conexi�n En Bornes Conforme / Inspecci�n T�cnica Conforme;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1645;360;
NO;EMP 327.2024;32534735;597526;Rechazada;2024-04-11 16:23:10-05;4;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1692;;
NO;EMP 327.2024;32534744;1013228;Aprobada;2024-04-11 12:35:57-05;4;2024;82 / 82 / 38 / 1;Se Corrige Anomal�a / Linea Directa / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1693;747;
NO;SIM 285.2024;32534885;360642;Aprobada;2024-04-11 13:37:33-05;4;2024;MV / 11;Medidor Volteado / ALTERACI�N DE LA POSICI�N DEL MEDIDOR DE INDUCCI�N;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Factor;ZTY1651;650;
CE;ING 273.2024;32534922;641615;Pendiente;2024-04-15 08:42:00-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;VBOLANOS;Posible anomalia;Disponible;ZTY1633;;
CE;ING 273.2024;32534958;8578906;Rechazada;2024-04-18 09:45:34-05;4;2024;431;Verificacion Y/O Correcion De Medidor Y Acometida En Caja;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;APENAFIEL;Anomalia verificada con acta digital;No Procede Pare;ZTY16311;;
CE;ING 273.2024;32535244;344524;Pendiente;2024-04-12 10:47:25-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;LMACHABANJOY;Posible anomalia;Disponible;ZTY1633;0;
PA;ELE 283.2024;32535322;1099429;Aprobada;2024-04-17 17:51:06-05;4;2024;38 / 82 / 82 / 1;Inspecci�n T�cnica Conforme / Linea Directa / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1705;2013;
PA;ELE 283.2024;32535362;8544683;Aprobada;2024-04-13 10:10:55-05;4;2024;38 / 1 / 30004 / 82 / 82;Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / OTRAS ANOMAL�AS REINCIDENTE PARE / Se Corrige Anomal�a / Linea Directa;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Otras Anomalias;ZTY1705;1901;
CE;ING 273.2024;32535392;118730;Pendiente;2024-04-19 15:49:56-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;LMACHABANJOY;Posible anomalia;Disponible;ZTY16310;0;
CE;ING 273.2024;32535392;118730;Pendiente;2024-04-19 15:49:56-05;4;2024;BPQ;Bornera Perforada/Quemada;0;FACTURACION;0;CAUSA NO DETERMINADA;LMACHABANJOY;Posible anomalia;;ZTY16310;0;
NO;SIM 285.2024;32535409;1064150;Aprobada;2024-04-11 12:34:27-05;4;2024;82 / 1;Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1651;1294;
NO;SIM 285.2024;32535511;1234280;Aprobada;2024-04-11 13:05:26-05;4;2024;1 / 1 / 82 / 1 / 82 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Se Corrige Anomal�a;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1651;1085;
NO;EMP 327.2024;32535566;600633;Aprobada;2024-04-11 13:41:54-05;4;2024;38 / 82 / 38 / 1;Acometida Intervenid / Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1692;1310;
CE;ING 273.2024;32535578;8557595;Pendiente;2024-04-12 14:46:53-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;LMACHABANJOY;Posible anomalia;Disponible;ZTY1632;0;
CE;ING 273.2024;32535578;8557595;Pendiente;2024-04-12 14:46:53-05;4;2024;BPQ;Bornera Perforada/Quemada;0;FACTURACION;0;CAUSA NO DETERMINADA;LMACHABANJOY;Posible anomalia;;ZTY1632;0;
NO;EMP 327.2024;32556673;600635;Aprobada;2024-04-11 14:48:53-05;4;2024;38 / 1 / 38 / 82;Acometida Intervenid / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Inspecci�n T�cnica Conforme / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1692;1182;
NO;EMP 327.2024;32556804;598096;Aprobada;2024-04-11 11:45:26-05;4;2024;38 / 1 / 38 / 82;Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Acometida Intervenid / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1692;1865;
PA;MEC 289.2024;32556854;589389;Aprobada;2024-04-12 09:49:08-05;4;2024;38 / 82 / 1 / 82 / H1 / 18;Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / Reconexion No Autorizada / Conexion Directa Desde Bornera;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1641;381;
CE;DES 100.2018;32556888;1116961;Rechazada;2024-04-23 14:28:10-05;4;2024;431;Orden Factor;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;AGARZONY;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY147;;440
CE;DES 100.2018;32557044;608884;Pendiente;2024-04-12 08:31:03-05;4;2024;431;Orden Factor;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;AGARZONY;Posible anomalia;;ZTY147;;80
CE;DES 100.2018;32557050;1094287;Rechazada;2024-04-11 14:53:09-05;4;2024;431;Orden Factor;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;AGARZONY;Anomalia verificada con acta digital;No Procede Pare;ZTY144;;60
CE;DES 100.2018;32557058;461924;Rechazada;2024-04-12 08:12:13-05;4;2024;431;Orden Factor;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;AGARZONY;Anomalia verificada con acta digital;No Procede Pare;ZTY141;;40
CE;ING 273.2024;32557085;220046;Pendiente;2024-04-15 10:31:56-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;INALVAREZ;Posible anomalia;Disponible;ZTY1636;0;
CE;ING 273.2024;32557085;220046;Pendiente;2024-04-15 10:31:56-05;4;2024;BPQ;Bornera Perforada/Quemada;0;FACTURACION;0;CAUSA NO DETERMINADA;INALVAREZ;Posible anomalia;;ZTY1636;0;
CE;DES 100.2018;32557103;1224940;Rechazada;2024-04-11 16:21:01-05;4;2024;431;Orden Factor;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;AGARZONY;Anomalia verificada con acta digital;No Procede Pare;ZTY144;;40
CE;DES 100.2018;32557120;116770;Rechazada;2024-04-12 12:33:47-05;4;2024;431;Orden Factor;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;AGARZONY;Anomalia verificada con acta digital;No Procede Pare;ZTY144;;40
PA;ELE 283.2024;32557132;1105688;Rechazada;2024-04-22 10:20:22-05;4;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;JCDIAZ123;Anomalia verificada con acta digital;No Existe Anomal�a En El Acta;ZTY1707;;
CE;DES 100.2018;32557141;201778;Rechazada;2024-04-12 12:15:54-05;4;2024;431;Orden Factor;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;AGARZONY;Anomalia verificada con acta digital;No Procede Pare;ZTY147;;40
NO;EMP 327.2024;32557143;1227557;Rechazada;2024-04-15 13:57:11-05;4;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada con acta digital;No Procede Pare;ZTY1691;;
CE;ING 273.2024;32557317;1134441;Pendiente;2024-04-12 09:23:19-05;4;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;APENAFIEL;Posible anomalia;Disponible;ZTY16312;0;
CE;ING 273.2024;32557331;1107096;Pendiente;2024-04-12 11:03:57-05;4;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;APENAFIEL;Posible anomalia;Disponible;ZTY16312;0;
CE;ING 273.2024;32557331;1107096;Pendiente;2024-04-12 11:03:57-05;4;2024;BPQ;Bornera Perforada/Quemada;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;APENAFIEL;Posible anomalia;;ZTY16312;0;
PA;MEC 289.2024;32557549;1183119;Rechazada;2024-04-12 11:05:59-05;4;2024;38 / 82 / 82 / 38;Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / Linea Directa / Conexi�n En Bornes Conforme;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada con acta digital;No Procede Pare;ZTY1641;320;
SU;DCM 299.2024;32557674;403464;Pendiente;2024-04-17 08:58:26-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;RCAICEDO;Posible anomalia;Disponible;ZTY1686;0;
SU;DCM 299.2024;32557674;403464;Pendiente;2024-04-17 08:58:26-05;4;2024;BPQ;Bornera Perforada/Quemada;0;FACTURACION;0;CAUSA NO DETERMINADA;RCAICEDO;Posible anomalia;;ZTY1686;0;
PA;MEC 289.2024;32557782;1205493;Rechazada;2024-04-12 09:12:21-05;4;2024;82 / 38 / 82;Linea Directa / Inspecci�n T�cnica Conforme / Se Corrige Anomal�a;75;GES. ENERGETICA;75;CAMBIO PLAN COMERCIAL;JSAAVEDRA;Anomalia verificada con acta digital;No Procede Pare;ZTY1641;0;
CE;ING 273.2024;32557831;124500;Pendiente;2024-04-15 14:57:57-05;4;2024;N/A;medidor no conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;ABELALCAZAR;Posible anomalia;Disponible;ZTY16310;;
PA;ELE 283.2024;32557922;1144737;Aprobada;2024-04-22 10:32:09-05;4;2024;1 / 38 / 30004 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Inspecci�n T�cnica Conforme / OTRAS ANOMAL�AS REINCIDENTE PARE / Linea Directa;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Otras Anomalias;ZTY1704;;
PA;ELE 283.2024;32557947;1041174;Aprobada;2024-04-17 09:54:42-05;4;2024;82 / 82 / 1 / 30001 / 38;Linea Directa / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE / Inspecci�n T�cnica Conforme;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1704;2956;
PA;ELE 283.2024;32557967;1144734;Aprobada;2024-04-22 09:56:08-05;4;2024;82 / 82 / 38 / 1;Se Corrige Anomal�a / Linea Directa / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1704;2151;
PA;ELE 283.2024;32558042;1078096;Pendiente;2024-04-17 09:14:25-05;4;2024;38;Inspecci�n T�cnica Conforme;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Posible anomalia;;ZTY1704;0;
NO;EMP 327.2024;32558109;600609;Aprobada;2024-04-12 12:01:37-05;4;2024;38 / 38 / 1 / 82;Acometida Intervenid / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1692;1151;
PA;ELE 283.2024;32558110;1201877;Aprobada;2024-04-18 16:01:28-05;4;2024;38 / 82 / 1 / 82;Inspecci�n T�cnica Conforme / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1705;2437;
CE;ING 273.2024;32558116;1110641;Pendiente;2024-04-18 13:50:19-05;4;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;OCARDENAS;Posible anomalia;Disponible;ZTY16311;0;
CE;ING 273.2024;32558116;1110641;Pendiente;2024-04-18 13:50:19-05;4;2024;BPQ;Bornera Perforada/Quemada;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;OCARDENAS;Posible anomalia;;ZTY16311;0;
CE;ING 273.2024;32558123;595676;Pendiente;2024-04-15 13:29:40-05;4;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;OCARDENAS;Posible anomalia;Disponible;ZTY1634;0;
CE;ING 273.2024;32558123;595676;Pendiente;2024-04-15 13:29:40-05;4;2024;BPQ;Bornera Perforada/Quemada;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;OCARDENAS;Posible anomalia;;ZTY1634;0;
PA;ELE 283.2024;32558144;1144736;Aprobada;2024-04-22 15:04:20-05;4;2024;82 / 38 / 1 / 82 / 30004;Se Corrige Anomal�a / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / OTRAS ANOMAL�AS REINCIDENTE PARE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Otras Anomalias;ZTY1704;1244;
CE;ING 273.2024;32558269;1036026;Aprobada;2024-04-15 13:41:32-05;4;2024;38 / 1 / 30004;Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / OTRAS ANOMAL�AS REINCIDENTE PARE;0;FACTURACION;0;CAUSA NO DETERMINADA;YPAJOY;Anomalia verificada y aprobada;Otras Anomalias;ZTY16310;0;
PA;MEC 289.2024;32559942;1181480;Pendiente;2024-04-12 09:33:40-05;4;2024;38 / 82 / 82;Inspecci�n T�cnica Conforme / Linea Directa / Se Corrige Anomal�a;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JCDIAZ123;Posible anomalia;;ZTY1645;852;
CE;ING 273.2024;32560083;137450;Pendiente;2024-04-25 09:40:04-05;4;2024;N/A;medidor no conforme;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;OCARDENAS;Posible anomalia;Disponible;ZTY16311;0;
NO;DIC 284.2024;32560240;1250986;Aprobada;2024-04-13 08:25:51-05;4;2024;1 / 82 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Se Corrige Anomal�a / Linea Directa;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;CREALPE;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1665;2477;
NO;DIC 284.2024;32560253;366128;Aprobada;2024-04-13 08:46:13-05;4;2024;1 / 82 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;CREALPE;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1665;1855;
PA;ELE 283.2024;32560256;1227968;Aprobada;2024-04-13 11:00:36-05;4;2024;82 / 82 / 39 / 39 / 38 / 1;Se Corrige Anomal�a / Linea Directa / Medidor desconectado / Fase I / Inspecci�n T�cnica Conforme / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1705;2278;
PA;ELE 283.2024;32560261;1167408;Aprobada;2024-04-13 11:22:03-05;4;2024;82 / 39 / 38 / 30004 / 1 / 82 / 39;Se Corrige Anomal�a / Fase I / Inspecci�n T�cnica Conforme / OTRAS ANOMAL�AS REINCIDENTE PARE / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / Medidor desconectado;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Otras Anomalias;ZTY1705;1021;
PA;ELE 283.2024;32560263;1085023;Aprobada;2024-04-13 12:22:24-05;4;2024;38 / 39 / 39 / 1 / 82 / 82;Inspecci�n T�cnica Conforme / Fase I / Medidor desconectado / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / Se Corrige Anomal�a;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1705;1691;
